#Coverage (X)	Coverage
1.0	99.00323813714664
2.0	98.62073197948847
3.0	98.22239598268007
4.0	97.85680834972653
5.0	97.48352968011433
6.0	97.09161166024371
7.0	96.70008872787268
8.0	96.29898711856717
9.0	95.89647197398533
10.0	95.46505398387797
11.0	95.02240672906005
12.0	94.57159433258396
13.0	94.11166858445065
14.0	93.65409580187047
15.0	93.20579440594732
16.0	92.74258504170632
17.0	92.2644852685919
18.0	91.79277713324862
19.0	91.3270831076213
20.0	90.85476917144533
21.0	90.34857428724898
22.0	89.85987738942335
23.0	89.35465705439266
24.0	88.85681168602098
25.0	88.3635932312556
26.0	87.87741611370512
27.0	87.40055428142276
28.0	86.93599283996095
29.0	86.48024623960109
30.0	86.02925824868072
31.0	85.58479359136469
32.0	85.14640450182013
33.0	84.71153608088302
34.0	84.2826905493841
35.0	83.86878810509187
36.0	83.46212015190324
37.0	83.06869201981198
38.0	82.67876699688372
39.0	82.30394309616202
40.0	81.93630978793283
41.0	81.56715758776079
42.0	81.21979665812165
43.0	80.87607053347875
44.0	80.52801600578479
45.0	80.19249892141113
46.0	79.87568264535138
47.0	79.56258019178777
48.0	79.26439448626422
49.0	78.9627407904665
50.0	78.67108719826949
51.0	78.37474523441068
