#Insert size (bp)	insert size
233.0	1.0
235.0	1.0
236.0	1.0
240.0	1.0
243.0	1.0
244.0	3.0
246.0	3.0
248.0	1.0
249.0	6.0
250.0	1.0
251.0	1.0
252.0	8.0
253.0	7.0
254.0	6.0
255.0	13.0
256.0	9.0
257.0	13.0
258.0	17.0
259.0	11.0
260.0	7.0
261.0	17.0
262.0	15.0
263.0	26.0
264.0	17.0
265.0	24.0
266.0	16.0
267.0	29.0
268.0	19.0
269.0	20.0
270.0	35.0
271.0	25.0
272.0	29.0
273.0	27.0
274.0	25.0
275.0	28.0
276.0	43.0
277.0	34.0
278.0	29.0
279.0	45.0
280.0	51.0
281.0	54.0
282.0	46.0
283.0	74.0
284.0	71.0
285.0	70.0
286.0	92.0
287.0	89.0
288.0	104.0
289.0	92.0
290.0	111.0
291.0	131.0
292.0	107.0
293.0	159.0
294.0	158.0
295.0	187.0
296.0	222.0
297.0	233.0
298.0	274.0
299.0	371.0
300.0	730.0
301.0	1491.0
302.0	1955.0
303.0	1493.0
304.0	1381.0
305.0	1461.0
306.0	1433.0
307.0	1442.0
308.0	1536.0
309.0	1444.0
310.0	1494.0
311.0	1511.0
312.0	1434.0
313.0	1608.0
314.0	1467.0
315.0	1532.0
316.0	1588.0
317.0	1535.0
318.0	1564.0
319.0	1517.0
320.0	1537.0
321.0	1633.0
322.0	1605.0
323.0	1626.0
324.0	1681.0
325.0	1647.0
326.0	1675.0
327.0	1788.0
328.0	1704.0
329.0	1654.0
330.0	1696.0
331.0	1764.0
332.0	1735.0
333.0	1795.0
334.0	1806.0
335.0	1718.0
336.0	1853.0
337.0	1803.0
338.0	1909.0
339.0	1970.0
340.0	1945.0
341.0	1912.0
342.0	2021.0
343.0	1940.0
344.0	2007.0
345.0	1996.0
346.0	1976.0
347.0	1964.0
348.0	2060.0
349.0	2097.0
350.0	2085.0
351.0	2144.0
352.0	2129.0
353.0	2089.0
354.0	2251.0
355.0	2176.0
356.0	2211.0
357.0	2217.0
358.0	2293.0
359.0	2245.0
360.0	2152.0
361.0	2369.0
362.0	2354.0
363.0	2374.0
364.0	2300.0
365.0	2322.0
366.0	2404.0
367.0	2500.0
368.0	2404.0
369.0	2507.0
370.0	2582.0
371.0	2498.0
372.0	2553.0
373.0	2630.0
374.0	2517.0
375.0	2558.0
376.0	2789.0
377.0	2704.0
378.0	2637.0
379.0	2713.0
380.0	2748.0
381.0	2805.0
382.0	2859.0
383.0	2747.0
384.0	2810.0
385.0	2842.0
386.0	2860.0
387.0	2801.0
388.0	2981.0
389.0	2965.0
390.0	3007.0
391.0	2962.0
392.0	3005.0
393.0	3059.0
394.0	3085.0
395.0	3292.0
396.0	3037.0
397.0	3195.0
398.0	3147.0
399.0	3106.0
400.0	3190.0
401.0	3219.0
402.0	3298.0
403.0	3351.0
404.0	3270.0
405.0	3400.0
406.0	3407.0
407.0	3434.0
408.0	3351.0
409.0	3330.0
410.0	3512.0
411.0	3469.0
412.0	3471.0
413.0	3526.0
414.0	3564.0
415.0	3437.0
416.0	3524.0
417.0	3656.0
418.0	3620.0
419.0	3643.0
420.0	3785.0
421.0	3622.0
422.0	3739.0
423.0	3721.0
424.0	3786.0
425.0	3717.0
426.0	3824.0
427.0	3829.0
428.0	3777.0
429.0	3809.0
430.0	4031.0
431.0	3993.0
432.0	4059.0
433.0	3834.0
434.0	4133.0
435.0	3875.0
