#Duplication rate	Coverage
1.0	1749898.0
2.0	637277.0
3.0	230936.0
4.0	88956.0
5.0	35843.0
6.0	16260.0
7.0	8452.0
8.0	4773.0
9.0	3121.0
10.0	2165.0
11.0	1627.0
12.0	1214.0
13.0	924.0
14.0	785.0
15.0	590.0
16.0	467.0
17.0	397.0
18.0	328.0
19.0	265.0
20.0	234.0
21.0	170.0
22.0	141.0
23.0	132.0
24.0	101.0
25.0	77.0
26.0	69.0
27.0	68.0
28.0	48.0
29.0	38.0
30.0	35.0
31.0	52.0
32.0	33.0
33.0	33.0
34.0	23.0
35.0	22.0
36.0	25.0
37.0	13.0
38.0	10.0
39.0	12.0
40.0	13.0
41.0	14.0
42.0	18.0
43.0	5.0
44.0	10.0
45.0	8.0
46.0	6.0
47.0	8.0
48.0	5.0
49.0	2.0
50.0	119.0
