#Mapping quality	mapping quality
0.0	36959.0
1.0	72828.0
2.0	86788.0
3.0	77445.0
4.0	80774.0
5.0	92397.0
6.0	102349.0
7.0	103862.0
8.0	105682.0
9.0	102353.0
10.0	109897.0
11.0	116139.0
12.0	123586.0
13.0	127397.0
14.0	134488.0
15.0	143014.0
16.0	145440.0
17.0	154939.0
18.0	168292.0
19.0	173828.0
20.0	187713.0
21.0	202744.0
22.0	211259.0
23.0	227719.0
24.0	252423.0
25.0	272989.0
26.0	297334.0
27.0	318579.0
28.0	341357.0
29.0	362374.0
30.0	368280.0
31.0	387616.0
32.0	410838.0
33.0	451142.0
34.0	495663.0
35.0	556947.0
36.0	619875.0
37.0	674189.0
38.0	709747.0
39.0	857434.0
40.0	1274640.0
41.0	2055763.0
42.0	219335.0
